0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,Jamahal Hill,Khalil Rountree Jr.,Khalil Rountree Jr.,Light Heavyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Jamahal Hill,12,4,0,1,"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",6.19,51%,4.03,44%,0.00,0%,73%,0.0,Khalil Rountree Jr.,15,6,0,1,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",3.79,40%,4.24,49%,0.00,0%,58%,0.1
1,Rafael Fiziev,Ignacio Bahamondes,Rafael Fiziev,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Rafael Fiziev,13,4,0,0,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",4.77,52%,4.77,50%,0.89,72%,90%,0.0,Ignacio Bahamondes,17,6,0,0,"6' 3""",155 lbs.,"75""",Orthodox,"Aug 27, 1997",6.55,45%,4.33,56%,0.00,0%,75%,0.4
2,Curtis Blaydes,Rizvan Kuniev,Curtis Blaydes,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Curtis Blaydes,19,5,0,1,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.56,50%,2.00,58%,5.38,48%,31%,0.0,Rizvan Kuniev,12,3,1,1,"6' 4""",240 lbs.,"76""",Orthodox,"Mar 10, 1992",4.45,58%,2.45,45%,1.45,75%,90%,0.0
3,Tofiq Musayev,Myktybek Orolbai,Myktybek Orolbai,Catch Weight Bout,Submission,1,4:35,3 Rnd (5-5-5),Rich Mitchell,Tofiq Musayev,22,6,0,0,"5' 9""",155 lbs.,"69""",Orthodox,"Dec 15, 1989",0.44,33%,0.44,71%,0.00,0%,40%,0.0,Myktybek Orolbai,14,2,1,0,"5' 10""",155 lbs.,"74""",Orthodox,"Feb 10, 1998",3.11,48%,3.08,50%,5.82,45%,40%,0.7
4,Nazim Sadykhov,Nikolas Motta,Nazim Sadykhov,Lightweight Bout,KO/TKO,2,4:17,3 Rnd (5-5-5),Lukasz Bosacki,Nazim Sadykhov,11,1,1,0,"5' 10""",155 lbs.,"69""",Southpaw,"May 16, 1994",5.55,50%,5.89,50%,1.29,55%,75%,0.3,Nikolas Motta,15,6,0,1,"5' 9""",155 lbs.,"70""",Orthodox,"Feb 08, 1993",4.13,38%,5.28,52%,0.00,0%,83%,0.0
5,Muhammad Naimov,Bogdan Grad,Muhammad Naimov,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Muhammad Naimov,13,3,0,0,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 07, 1994",2.61,40%,3.45,45%,1.69,36%,67%,0.2,Bogdan Grad,15,3,0,0,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 28, 1995",4.44,51%,5.40,49%,3.31,36%,75%,0.0
6,Seokhyeon Ko,Oban Elliott,Seokhyeon Ko,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Seokhyeon Ko,12,2,0,0,"5' 10""",170 lbs.,"71""",Southpaw,"Sep 24, 1993",2.90,52%,2.00,59%,4.00,53%,75%,0.5,Oban Elliott,12,3,0,0,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 19, 1997",3.50,48%,2.24,60%,1.70,44%,55%,0.0
7,Ismail Naurdiev,JunYong Park,JunYong Park,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ismail Naurdiev,24,8,0,0,"5' 10""",185 lbs.,"74""",Orthodox,"Aug 18, 1996",3.69,52%,1.77,64%,1.50,40%,73%,0.2,JunYong Park,19,6,0,0,"5' 10""",185 lbs.,"73""",Orthodox,"Feb 27, 1991",4.59,50%,3.59,53%,1.87,42%,57%,0.9
8,Daria Zhelezniakova,Melissa Mullins,Daria Zhelezniakova,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Daria Zhelezniakova,10,2,0,0,"5' 9""",135 lbs.,"68""",Orthodox,"Jan 23, 1996",4.75,41%,2.83,68%,0.44,100%,50%,0.0,Melissa Mullins,7,2,0,0,"5' 7""",135 lbs.,"68""",Orthodox,"Jul 23, 1991",3.71,50%,4.39,52%,2.03,42%,85%,0.0
9,Irina Alekseeva,Klaudia Sygula,Klaudia Sygula,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Irina Alekseeva,5,3,0,0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",4.01,39%,5.03,46%,0.47,20%,66%,0.5,Klaudia Sygula,7,2,0,0,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 30, 1998",5.30,53%,4.73,57%,0.70,20%,33%,0.0
10,Tagir Ulanbekov,Azat Maksum,Tagir Ulanbekov,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Tagir Ulanbekov,17,2,0,0,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 07, 1991",3.37,49%,3.36,52%,2.94,38%,62%,1.6,Azat Maksum,15,2,0,0,"5' 7""",125 lbs.,"70""",Southpaw,"Feb 02, 1995",3.24,28%,5.00,52%,2.33,28%,85%,0.3
11,Hamdy Abdelwahab,Mohammed Usman,Mohammed Usman,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Hamdy Abdelwahab,6,1,0,1,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",3.49,49%,4.49,51%,1.33,66%,100%,0.0,Mohammed Usman,12,4,0,0,"6' 2""",239 lbs.,"79""",Orthodox,"Apr 01, 1989",3.85,39%,4.27,51%,0.56,14%,66%,0.0
